__time,/output_std/data[0],/output_std/data[1],/output_std/layout/data_offset,/time/data
1706898892.078540,-0.135849733,0.085568210,0.000000000,
1706898892.078593,,,,1.660000000
1706898892.088968,-0.133048056,0.084209713,0.000000000,
1706898892.089071,,,,1.670000000
1706898892.099243,-0.130138547,0.082879232,0.000000000,
1706898892.099291,,,,1.680000000
1706898892.108664,-0.127125085,0.081577847,0.000000000,
1706898892.108714,,,,1.690000000
1706898892.118606,-0.124011619,0.080306596,0.000000000,
1706898892.118646,,,,1.700000000
1706898892.128578,-0.120802162,0.079066480,0.000000000,
1706898892.128616,,,,1.710000000
1706898892.138717,-0.117500789,0.077858458,0.000000000,
1706898892.138777,,,,1.720000000
1706898892.148660,-0.114111626,0.076683450,0.000000000,
1706898892.148725,,,,1.730000000
1706898892.158509,-0.110638855,0.075542334,0.000000000,
1706898892.158548,,,,1.740000000
1706898892.168679,-0.107086700,0.074435945,0.000000000,
1706898892.168728,,,,1.750000000
1706898892.178576,-0.103459428,0.073365078,0.000000000,
1706898892.178612,,,,1.760000000
1706898892.188924,-0.099761341,0.072330484,0.000000000,
1706898892.189010,,,,1.770000000
1706898892.198808,-0.095996776,0.071332871,0.000000000,
1706898892.198866,,,,1.780000000
1706898892.208606,-0.092170095,0.070372903,0.000000000,
1706898892.208642,,,,1.790000000
1706898892.218678,-0.088285685,0.069451202,0.000000000,
1706898892.218722,,,,1.800000000
1706898892.228556,-0.084347948,0.068568345,0.000000000,
1706898892.228590,,,,1.810000000
1706898892.238645,-0.080361303,0.067724866,0.000000000,
1706898892.238710,,,,1.820000000
1706898892.248731,-0.076330177,0.066921253,0.000000000,
1706898892.248784,,,,1.830000000
1706898892.259296,-0.072259000,0.066157951,0.000000000,
1706898892.259347,,,,1.840000000
1706898892.268683,-0.068152205,0.065435361,0.000000000,
1706898892.268728,,,,1.850000000
1706898892.278611,-0.064014219,0.064753839,0.000000000,
1706898892.278655,,,,1.860000000
1706898892.288771,-0.059849461,0.064113697,0.000000000,
1706898892.288843,,,,1.870000000
1706898892.299077,-0.055662336,0.063515202,0.000000000,
1706898892.299159,,,,1.880000000
1706898892.308578,-0.051457233,0.062958579,0.000000000,
1706898892.308605,,,,1.890000000
1706898892.318645,-0.047238519,0.062444006,0.000000000,
1706898892.318680,,,,1.900000000
1706898892.328757,-0.043010534,0.061971621,0.000000000,
1706898892.328792,,,,1.910000000
1706898892.338704,-0.038777591,0.061541516,0.000000000,
1706898892.338753,,,,1.920000000
1706898892.348833,-0.034543966,0.061153740,0.000000000,
1706898892.348894,,,,1.930000000
1706898892.358701,-0.030313901,0.060808300,0.000000000,
1706898892.358750,,,,1.940000000
1706898892.368709,-0.026091592,0.060505161,0.000000000,
1706898892.368745,,,,1.950000000
1706898892.378732,-0.021881192,0.060244245,0.000000000,
1706898892.378775,,,,1.960000000
1706898892.388876,-0.017686805,0.060025433,0.000000000,
1706898892.388955,,,,1.970000000
1706898892.398820,-0.013512480,0.059848565,0.000000000,
1706898892.398891,,,,1.980000000
1706898892.408801,-0.009362212,0.059713441,0.000000000,
1706898892.408850,,,,1.990000000
1706898892.418775,-0.005239934,0.059619818,0.000000000,
1706898892.418843,,,,2.000000000
1706898892.428744,-0.001149516,0.059567419,0.000000000,
1706898892.428781,,,,2.010000000
1706898892.438837,0.002905237,0.059555924,0.000000000,
1706898892.438901,,,,2.020000000
1706898892.448845,0.006920592,0.059584976,0.000000000,
1706898892.448913,,,,2.030000000
1706898892.458678,0.010892889,0.059654182,0.000000000,
1706898892.458715,,,,2.040000000
1706898892.468785,0.014818542,0.059763111,0.000000000,
1706898892.468827,,,,2.050000000
1706898892.478657,0.018694045,0.059911297,0.000000000,
1706898892.478708,,,,2.060000000
1706898892.488994,0.022515975,0.060098237,0.000000000,
1706898892.489058,,,,2.070000000
1706898892.498871,0.026280992,0.060323397,0.000000000,
1706898892.498950,,,,2.080000000
1706898892.508664,0.029985842,0.060586207,0.000000000,
1706898892.508702,,,,2.090000000
1706898892.518708,0.033627363,0.060886065,0.000000000,
1706898892.518757,,,,2.100000000
1706898892.528725,0.037202483,0.061222339,0.000000000,
1706898892.528761,,,,2.110000000
1706898892.538671,0.040708224,0.061594364,0.000000000,
1706898892.538711,,,,2.120000000
1706898892.548816,0.044141706,0.062001446,0.000000000,
1706898892.548884,,,,2.130000000
1706898892.558546,0.047500144,0.062442863,0.000000000,
1706898892.558578,,,,2.140000000
1706898892.568637,0.050780856,0.062917864,0.000000000,
1706898892.568675,,,,2.150000000
1706898892.578588,0.053981261,0.063425673,0.000000000,
1706898892.578637,,,,2.160000000
1706898892.588873,0.057098881,0.063965485,0.000000000,
1706898892.588916,,,,2.170000000
1706898892.598805,0.060131344,0.064536474,0.000000000,
1706898892.598865,,,,2.180000000
1706898892.608623,0.063076383,0.065137788,0.000000000,
1706898892.608678,,,,2.190000000
1706898892.618604,0.065931840,0.065768552,0.000000000,
1706898892.618634,,,,2.200000000
1706898892.628450,0.068695667,0.066427870,0.000000000,
1706898892.628477,,,,2.210000000
1706898892.638727,0.071365923,0.067114827,0.000000000,
1706898892.638779,,,,2.220000000
1706898892.648548,0.073940781,0.067828486,0.000000000,
1706898892.648583,,,,2.230000000
1706898892.659156,0.076418525,0.068567894,0.000000000,
1706898892.659176,,,,2.240000000
1706898892.668559,0.078797550,0.069332079,0.000000000,
1706898892.668592,,,,2.250000000
1706898892.678640,0.081076367,0.070120054,0.000000000,
1706898892.678684,,,,2.260000000
1706898892.688942,0.083253598,0.070930818,0.000000000,
1706898892.689024,,,,2.270000000
1706898892.698689,0.085327980,0.071763354,0.000000000,
1706898892.698738,,,,2.280000000
1706898892.708651,0.087298365,0.072616634,0.000000000,
1706898892.708692,,,,2.290000000
1706898892.718723,0.089163718,0.073489618,0.000000000,
1706898892.718788,,,,2.300000000
1706898892.728665,0.090923119,0.074381255,0.000000000,
1706898892.728704,,,,2.310000000
1706898892.739467,0.092575762,0.075290486,0.000000000,
1706898892.739550,,,,2.320000000
